sample_fp	plate	cycle	well	tile	channel
/mnt/data/uluru/input_sbs/plate_1/c1/A1_16_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	16	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_16_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	16	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_17_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	17	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_17_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	17	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_17_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	17	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_17_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	17	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_17_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	17	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_18_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	18	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_18_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	18	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_18_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	18	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_18_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	18	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_18_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	18	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_19_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	19	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_19_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	19	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_19_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	19	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_19_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	19	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_19_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	19	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_20_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	20	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_20_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	20	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_20_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	20	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_20_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	20	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_20_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	20	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_21_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	21	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_21_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	21	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_21_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	21	561_nm_Ex_-_2
