plate	cycle	well	tile	channel
1	1	A1	55	561_nm_Ex_-_2
1	1	A1	55	638_nm_Ex_-_1
1	1	A1	55	638_nm_Ex_-_2
1	1	A1	56	405_nm_Ex
1	1	A1	56	561_nm_Ex_-_1
1	1	A1	56	561_nm_Ex_-_2
1	1	A1	56	638_nm_Ex_-_1
1	1	A1	56	638_nm_Ex_-_2
1	1	A1	57	405_nm_Ex
1	1	A1	57	561_nm_Ex_-_1
1	1	A1	57	561_nm_Ex_-_2
1	1	A1	57	638_nm_Ex_-_1
1	1	A1	57	638_nm_Ex_-_2
1	1	A1	58	405_nm_Ex
1	1	A1	58	561_nm_Ex_-_1
1	1	A1	58	561_nm_Ex_-_2
1	1	A1	58	638_nm_Ex_-_1
1	1	A1	58	638_nm_Ex_-_2
1	1	A1	59	405_nm_Ex
1	1	A1	59	561_nm_Ex_-_1
1	1	A1	59	561_nm_Ex_-_2
1	1	A1	59	638_nm_Ex_-_1
1	1	A1	59	638_nm_Ex_-_2
1	1	A1	60	405_nm_Ex
1	1	A1	60	561_nm_Ex_-_1
1	1	A1	60	561_nm_Ex_-_2
1	1	A1	60	638_nm_Ex_-_1
1	1	A1	60	638_nm_Ex_-_2
1	1	A1	61	405_nm_Ex
1	1	A1	61	561_nm_Ex_-_1
1	1	A1	61	561_nm_Ex_-_2
1	1	A1	61	638_nm_Ex_-_1
1	1	A1	61	638_nm_Ex_-_2
1	1	A1	62	405_nm_Ex
1	1	A1	62	561_nm_Ex_-_1
1	1	A1	62	561_nm_Ex_-_2
1	1	A1	62	638_nm_Ex_-_1
1	1	A1	62	638_nm_Ex_-_2
1	1	A1	63	405_nm_Ex
1	1	A1	63	561_nm_Ex_-_1
1	1	A1	63	561_nm_Ex_-_2
1	1	A1	63	638_nm_Ex_-_1
1	1	A1	63	638_nm_Ex_-_2
1	1	A1	64	405_nm_Ex
1	1	A1	64	561_nm_Ex_-_1
1	1	A1	64	561_nm_Ex_-_2
1	1	A1	64	638_nm_Ex_-_1
1	1	A1	64	638_nm_Ex_-_2
1	1	A1	65	405_nm_Ex
1	1	A1	65	561_nm_Ex_-_1
1	1	A1	65	561_nm_Ex_-_2
1	1	A1	65	638_nm_Ex_-_1
1	1	A1	65	638_nm_Ex_-_2
1	1	A1	66	405_nm_Ex
1	1	A1	66	561_nm_Ex_-_1
1	1	A1	66	561_nm_Ex_-_2
1	1	A1	66	638_nm_Ex_-_1
1	1	A1	66	638_nm_Ex_-_2
1	1	A1	67	405_nm_Ex
1	1	A1	67	561_nm_Ex_-_1
1	1	A1	67	561_nm_Ex_-_2
1	1	A1	67	638_nm_Ex_-_1
1	1	A1	67	638_nm_Ex_-_2
1	1	A1	68	405_nm_Ex
1	1	A1	68	561_nm_Ex_-_1
1	1	A1	68	561_nm_Ex_-_2
1	1	A1	68	638_nm_Ex_-_1
1	1	A1	68	638_nm_Ex_-_2
1	1	A1	69	405_nm_Ex
1	1	A1	69	561_nm_Ex_-_1
1	1	A1	69	561_nm_Ex_-_2
1	1	A1	69	638_nm_Ex_-_1
1	1	A1	69	638_nm_Ex_-_2
1	1	A1	70	405_nm_Ex
1	1	A1	70	561_nm_Ex_-_1
1	1	A1	70	561_nm_Ex_-_2
1	1	A1	70	638_nm_Ex_-_1
1	1	A1	70	638_nm_Ex_-_2
1	1	A1	71	405_nm_Ex
1	1	A1	71	561_nm_Ex_-_1
1	1	A1	71	561_nm_Ex_-_2
1	1	A1	71	638_nm_Ex_-_1
1	1	A1	71	638_nm_Ex_-_2
1	1	A1	72	405_nm_Ex
1	1	A1	72	561_nm_Ex_-_1
1	1	A1	72	561_nm_Ex_-_2
1	1	A1	72	638_nm_Ex_-_1
1	1	A1	72	638_nm_Ex_-_2
1	1	A1	73	405_nm_Ex
1	1	A1	73	561_nm_Ex_-_1
1	1	A1	73	561_nm_Ex_-_2
1	1	A1	73	638_nm_Ex_-_1
1	1	A1	73	638_nm_Ex_-_2
1	1	A1	74	405_nm_Ex
1	1	A1	74	561_nm_Ex_-_1
1	1	A1	74	561_nm_Ex_-_2
1	1	A1	74	638_nm_Ex_-_1
1	1	A1	74	638_nm_Ex_-_2
1	1	A1	75	405_nm_Ex
1	1	A1	75	561_nm_Ex_-_1
1	1	A1	75	561_nm_Ex_-_2
1	1	A1	75	638_nm_Ex_-_1
1	1	A1	75	638_nm_Ex_-_2
1	1	A2	0	405_nm_Ex
1	1	A2	0	561_nm_Ex_-_1
1	1	A2	0	561_nm_Ex_-_2
1	1	A2	0	638_nm_Ex_-_1
1	1	A2	0	638_nm_Ex_-_2
1	1	A2	1	405_nm_Ex
1	1	A2	1	561_nm_Ex_-_1
1	1	A2	1	561_nm_Ex_-_2
1	1	A2	1	638_nm_Ex_-_1
1	1	A2	1	638_nm_Ex_-_2
1	1	A2	2	405_nm_Ex
1	1	A2	2	561_nm_Ex_-_1
1	1	A2	2	561_nm_Ex_-_2
1	1	A2	2	638_nm_Ex_-_1
1	1	A2	2	638_nm_Ex_-_2
1	1	A2	3	405_nm_Ex
1	1	A2	3	561_nm_Ex_-_1
1	1	A2	3	561_nm_Ex_-_2
1	1	A2	3	638_nm_Ex_-_1
1	1	A2	3	638_nm_Ex_-_2
1	1	A2	4	405_nm_Ex
1	1	A2	4	561_nm_Ex_-_1
1	1	A2	4	561_nm_Ex_-_2
1	1	A2	4	638_nm_Ex_-_1
1	1	A2	4	638_nm_Ex_-_2
1	1	A2	5	405_nm_Ex
1	1	A2	5	561_nm_Ex_-_1
1	1	A2	5	561_nm_Ex_-_2
1	1	A2	5	638_nm_Ex_-_1
1	1	A2	5	638_nm_Ex_-_2
1	1	A2	6	405_nm_Ex
1	1	A2	6	561_nm_Ex_-_1
1	1	A2	6	561_nm_Ex_-_2
1	1	A2	6	638_nm_Ex_-_1
1	1	A2	6	638_nm_Ex_-_2
1	1	A2	7	405_nm_Ex
1	1	A2	7	561_nm_Ex_-_1
1	1	A2	7	561_nm_Ex_-_2
1	1	A2	7	638_nm_Ex_-_1
1	1	A2	7	638_nm_Ex_-_2
1	1	A2	8	405_nm_Ex
1	1	A2	8	561_nm_Ex_-_1
1	1	A2	8	561_nm_Ex_-_2
1	1	A2	8	638_nm_Ex_-_1
1	1	A2	8	638_nm_Ex_-_2
1	1	A2	9	405_nm_Ex
1	1	A2	9	561_nm_Ex_-_1
1	1	A2	9	561_nm_Ex_-_2
1	1	A2	9	638_nm_Ex_-_1
1	1	A2	9	638_nm_Ex_-_2
1	1	A2	10	405_nm_Ex
1	1	A2	10	561_nm_Ex_-_1
1	1	A2	10	561_nm_Ex_-_2
1	1	A2	10	638_nm_Ex_-_1
1	1	A2	10	638_nm_Ex_-_2
1	1	A2	11	405_nm_Ex
1	1	A2	11	561_nm_Ex_-_1
1	1	A2	11	561_nm_Ex_-_2
1	1	A2	11	638_nm_Ex_-_1
1	1	A2	11	638_nm_Ex_-_2
1	1	A2	12	405_nm_Ex
1	1	A2	12	561_nm_Ex_-_1
1	1	A2	12	561_nm_Ex_-_2
1	1	A2	12	638_nm_Ex_-_1
1	1	A2	12	638_nm_Ex_-_2
1	1	A2	13	405_nm_Ex
1	1	A2	13	561_nm_Ex_-_1
1	1	A2	13	561_nm_Ex_-_2
1	1	A2	13	638_nm_Ex_-_1
1	1	A2	13	638_nm_Ex_-_2
1	1	A2	14	405_nm_Ex
1	1	A2	14	561_nm_Ex_-_1
1	1	A2	14	561_nm_Ex_-_2
1	1	A2	14	638_nm_Ex_-_1
1	1	A2	14	638_nm_Ex_-_2
1	1	A2	15	405_nm_Ex
1	1	A2	15	561_nm_Ex_-_1
